Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/15/2025,07:52:54,224,230,273.1,60.0,60.0,018,19
05/15/2025,08:52:54,222,230,272.5,60.0,60.0,018,19
