DateTime,Vin,Vout,Freq,Load,Capacity,BatteryVolt,CellVolt,Temp,ups_name
06/11/2025 01:35:51,225,230,59.9,034,,272.8,,18,UPS_8F
06/11/2025 02:35:51,224,230,60.0,035,,272.5,,18,UPS_8F
06/11/2025 03:35:51,225,230,59.9,034,,272.5,,18,UPS_8F
06/11/2025 04:35:52,226,230,60.0,035,,272.5,,18,UPS_8F
06/11/2025 05:35:52,226,230,60.0,034,,272.8,,18,UPS_8F
06/11/2025 06:35:52,224,230,59.9,034,,272.5,,18,UPS_8F
06/11/2025 07:35:52,222,229,60.0,034,,272.8,,18,UPS_8F
06/11/2025 08:35:52,222,230,59.9,035,,272.8,,18,UPS_8F
06/11/2025 09:35:52,223,230,60.0,035,,272.5,,14,UPS_8F
06/11/2025 10:35:52,220,230,59.9,034,,272.8,,14,UPS_8F
06/11/2025 11:35:53,219,230,59.9,033,,272.5,,18,UPS_8F
