Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/20/2025,09:53:56,222,230,273.1,60.0,60.0,018,19
05/20/2025,10:53:56,222,230,272.5,60.0,60.0,019,19
