Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/14/2025,07:52:43,225,230,272.5,60.0,60.0,018,19
05/14/2025,08:52:43,221,230,272.5,60.0,60.0,018,19
