Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
04/18/2025,08:01:55,220,230,271.8,59.9,60.0,019,22
04/18/2025,09:01:56,219,229,272.2,59.9,60.0,019,22
