DateTime,Vin,Vout,Freq,Load,Capacity,BatteryVolt,CellVolt,Temp,ups_name
11/06/2025 11:36:16,223.5,220.0,59.9,27,100,272.50,2.24,26.0,UPS_10F
11/06/2025 10:36:08,225.5,220.0,60.0,27,100,272.50,2.24,26.0,UPS_10F
11/06/2025 09:36:00,226.5,220.0,60.0,27,100,272.50,2.24,26.0,UPS_10F
11/06/2025 08:35:51,226.5,220.0,59.9,28,100,272.50,2.24,26.0,UPS_10F
11/06/2025 07:35:42,225.0,220.0,60.0,28,100,272.50,2.24,27.0,UPS_10F
11/06/2025 06:35:34,226.5,220.0,60.0,28,100,272.50,2.24,27.0,UPS_10F
11/06/2025 05:35:26,228.5,220.0,60.0,28,100,272.50,2.24,27.0,UPS_10F
11/06/2025 04:35:17,228.0,220.5,60.0,27,100,272.50,2.24,27.0,UPS_10F
11/06/2025 03:35:09,227.5,220.0,59.9,28,100,272.50,2.24,27.0,UPS_10F
11/06/2025 02:35:01,226.5,220.0,60.0,28,100,272.50,2.24,27.0,UPS_10F
11/06/2025 01:34:53,226.5,220.0,59.9,29,100,272.50,2.24,27.0,UPS_10F
11/06/2025 00:34:44,228.0,220.0,59.9,29,100,272.50,2.24,27.0,UPS_10F
