DateTime,Vin,Vout,Freq,Load,Capacity,BatteryVolt,CellVolt,Temp,ups_name
06/10/2025 23:52:24,224,230,59.9,023,,272.2,,27,UPS_3F
06/11/2025 00:52:25,225,230,60.0,024,,272.2,,27,UPS_3F
06/11/2025 01:52:25,223,230,60.0,024,,272.2,,27,UPS_3F
06/11/2025 02:52:26,224,229,60.0,023,,272.2,,27,UPS_3F
06/11/2025 03:52:26,225,230,59.9,023,,271.8,,27,UPS_3F
06/11/2025 04:52:26,226,230,59.9,024,,272.2,,27,UPS_3F
06/11/2025 05:52:26,225,230,59.9,019,,271.8,,26,UPS_3F
06/11/2025 06:52:26,223,230,60.0,023,,271.8,,27,UPS_3F
06/11/2025 07:52:27,229,230,59.9,024,,272.2,,27,UPS_3F
06/11/2025 08:52:27,224,229,59.9,024,,271.8,,27,UPS_3F
06/11/2025 09:52:28,222,230,60.0,024,,272.2,,27,UPS_3F
06/11/2025 10:52:28,221,230,60.0,023,,271.8,,28,UPS_3F
