Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/13/2025,07:34:04,225,230,272.8,60.0,60.0,031,19
05/13/2025,08:34:04,220,230,272.8,59.9,60.0,030,19
