Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/14/2025,08:05:56,227,220,272.5,59.9,60.0,026,24
05/14/2025,09:05:56,225,220,272.5,59.9,60.0,025,24
