Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/21/2025,12:49:14,222,230,272.2,59.9,60.0,024,23
05/21/2025,13:49:14,220,230,271.8,60.0,60.0,023,24
