Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/15/2025,08:06:10,226,220,273.1,59.9,60.0,025,24
05/15/2025,09:06:11,224,220,272.5,60.0,60.0,025,24
