Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/12/2025,07:34:01,222,230,272.5,59.9,60.0,030,19
05/12/2025,08:34:01,224,230,272.5,59.9,60.0,030,19
