Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp
05/21/2025,12:54:07,223,230,272.5,60.0,60.0,019,19
05/21/2025,13:54:07,221,230,272.8,60.0,60.0,019,19
